Author,Year,DOI,TOTAL,Male,Female,G1,G1_n,G1_P1,G1_P2,G2,G2_n,G2_P1,G2_P2,G3,G3_n,G3_P1,G3_P2,G4,G4_n,G4_P1,G4_P2
"Del Coso, Gonzalez, Abian-Vicen, Salinero Martin, Soriano, Areces, Ruiz, Gallo, Lara and Calleja-Gonzalez",2014,10.1080/02640414.2014.915425,34,30,4,Not_Reported,,,,,,,,,,,,,,,
"Filingeri, Redortier, Hodder and Havenith",2014,10.1016/j.neuroscience.2013.11.019,8,,8,Not_Reported,,,,,,,,,,,,,,,
"Flouris, Wright-Beatty, Friesen, Casa and Kenny",2014,,9,7,2,EUM,2,Follicular,,,,,,,,,,,,,
"Foster, Koehle, Dominelli, Mwangi, Onywera, Boit, Tremblay, Boit and Sheel",2014,10.1249/mss.0000000000000161,14,10,4,Not_Reported,,,,,,,,,,,,,,,
"Greaney, Stanhewicz, Kenney and Alexander",2014,10.1152/japplphysiol.00516.2014,23,13,10,EUM,,Early_Follicular,,OCP,,Placebo,,,,,,,,,
"Hew-Butler, Hummel, Rider and Verbalis",2014,10.1152/ajpregu.00120.2014,10,8,2,EUM,1,Follicular,,Amenorrheic/Oligomenorrheic,1,Not Controlled,,,,,,,,,
"Juliff, Halson, Bonetti, Versey, Driller and Peiffer",2014,10.1519/jsc.0000000000000417,10,,10,Not_Reported,,,,,,,,,,,,,,,
"Krauchi, Konieczka, Roescheisen-Weich, Gompper, Hauenstein, Schoetzau, Fraenkl and Flammer",2014,10.3109/07420528.2013.829482,19,,19,EUM,19,Luteal,Follicular,,,,,,,,,,,,
"Lee, Petrofsky, Daher, Berk and Laymon",2014,,19,,19,EUM,10,Early_Follicular,Follicular,EUM,,Ovulation,Luteal,OCP,9,Pill,Placebo,,,,
"Lisman, Kazman, O'connor, Heled and Deuster",2014,10.7205/milmed-d-14-00169,46,34,12,Not_Reported,,,,,,,,,,,,,,,
"Mcgarr, Hartley and Cheung",2014,10.1080/15459624.2013.816429,16,11,5,Not_Reported,,,,,,,,,,,,,,,
"Moyen, Mundel, Du Bois, Ciccone, Morton and Judelson",2014,10.3357/asem.3993.2014,10,,10,EUM,,Follicular,,OCP,,Placebo,,,,,,,,,
"Op 'T Eijnde, Keytsman, Wens and Hansen",2014,10.3233/nre-141159,12,5,7,Not_Reported,,,,,,,,,,,,,,,
Parrott and Young,2014,10.4161/23328940.2014.977182,68,38,30,Not_Reported,,,,,,,,,,,,,,,
Pate and Buono,2014,,24,5,19,Not_Reported,,,,,,,,,,,,,,,
"Pearson, Lucas, Schlader, Zhao, Gagnon and Crandall",2014,10.1152/ajpregu.00199.2014,8,6,2,EUM,1,Follicular,,OCP,1,Placebo,,,,,,,,,
"Ramos-Jimenez, Hernandez-Torres, Wall-Medrano, Torres-Duran, Juarez-Oropeza, Viloria and Villalobos-Molina",2014,10.3305/nh.2014.29.3.7017,21,12,9,EUM,9,Mid_Follicular,,,,,,,,,,,,,
Raymond and Barringer,2014,10.1080/10803548.2014.11077040,93,74,19,Not_Reported,,,,,,,,,,,,,,,
"Savage, Lord, Larsen, Knight, Langridge and Aisbett",2014,10.1016/j.jtherbio.2014.10.003,48,46,2,Not_Reported,,,,,,,,,,,,,,,
"Solianik, Skurvydas, Mickeviciene and Brazaitis",2014,10.1016/j.cryobiol.2014.08.007,32,18,14,EUM,14,Follicular,,,,,,,,,,,,,
"Taylor, Mauger, Watkins, Fitch, Brewer, Maxwell, Webborn and Castle",2014,10.1519/jsc.0000000000000558,8,,8,EUM,5,Follicular,,EUM,3,Luteal,,,,,,,,,
"Veltmeijer, Pluim, Thijssen, Hopman and Eijsvogels",2014,10.1038/sc.2014.27,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Venckunas, Trinkunas, Kamandulis, Poderys, Grunovas and Brazaitis",2014,10.1155/2014/353040,13,,13,Not_Reported,,,,,,,,,,,,,,,
"Yakushkin, Akimov, Andreev, Kalenov, Kozlov, Kuznetsova and Son'kin",2014,,10,7,3,Not_Reported,,,,,,,,,,,,,,,
"Yang, Nepocatych, Katica, Collins, Casaru, Balilionis, Sj�kvist and Bishop",2014,,7,6,1,Not_Reported,,,,,,,,,,,,,,,
"Zadeh, Shepley, Williams and Chung",2014,10.1177/193758671400700405,12,2,10,Not_Reported,,,,,,,,,,,,,,,
"Adams, Ganio, Burchfield, Matthews, Werner, Chokbengboun, Dougherty and Lachance",2015,,20,,20,EUM,20,Early_Follicular,,,,,,,,,,,,,
"Amano, Ichinose, Inoue, Nishiyasu, Koga and Kondo",2015,10.1152/ajpregu.00005.2015,14,6,8,EUM,8,Follicular,,,,,,,,,,,,,
"Benda, Seeger, Van Lier, Bellersen, Van Dijk, Hopman and Thijssen",2015,10.1113/ep085040,14,12,2,Not_Reported,,,,,,,,,,,,,,,
"Bonmati-Carrion, Middleton, Revell, Skene, Rol and Madrid",2015,10.3109/07420528.2015.1016613,13,7,6,Not_Reported,,,,,,,,,,,,,,,
"Brearley, Sherburn, Galea and Clarke",2015,10.1016/j.jphys.2015.08.004,109,,109,Pregnant,109,,,,,,,,,,,,,,
"Coombs, Cramer, Ravanelli, Morris and Jay",2015,10.1111/sms.12336,9,8,1,Not_Reported,,,,,,,,,,,,,,,
Crabtree and Blannin,2015,10.1249/mss.0000000000000391,16,10,6,Not_Reported,,,,,,,,,,,,,,,
